Local time,Open,High,Low,Close,Volume
30.03.2008 20:00:00.000 GMT-0400,1.57960,1.58974,1.55073,1.57300,4329402.3203
06.04.2008 20:00:00.000 GMT-0400,1.57300,1.59143,1.56247,1.57101,4353038.0469
13.04.2008 20:00:00.000 GMT-0400,1.57097,1.59826,1.56684,1.58080,4338302.0117
20.04.2008 20:00:00.000 GMT-0400,1.58097,1.60183,1.55506,1.56165,4348454.6992
27.04.2008 20:00:00.000 GMT-0400,1.56168,1.56924,1.53599,1.54345,4340526
04.05.2008 20:00:00.000 GMT-0400,1.54332,1.55945,1.52825,1.54656,4351263.5156
11.05.2008 20:00:00.000 GMT-0400,1.54662,1.56019,1.53627,1.55812,4331627.5508
18.05.2008 20:00:00.000 GMT-0400,1.55802,1.58130,1.54811,1.57776,4347554.5508
25.05.2008 20:00:00.000 GMT-0400,1.57769,1.58178,1.54594,1.55564,4341083.4844
01.06.2008 20:00:00.000 GMT-0400,1.55570,1.57986,1.53633,1.57792,4322397.3086
08.06.2008 20:00:00.000 GMT-0400,1.57787,1.58432,1.53004,1.53829,4324053.8828
15.06.2008 20:00:00.000 GMT-0400,1.53830,1.56510,1.53433,1.56020,4332439.9922
22.06.2008 20:00:00.000 GMT-0400,1.56006,1.57979,1.54661,1.57917,4312830.5879
29.06.2008 20:00:00.000 GMT-0400,1.57894,1.59117,1.56524,1.56930,4296246.8008
06.07.2008 20:00:00.000 GMT-0400,1.56917,1.59709,1.56072,1.58990,4310429.9063
13.07.2008 20:00:00.000 GMT-0400,1.59008,1.60389,1.57815,1.58422,4306007.3516
20.07.2008 20:00:00.000 GMT-0400,1.58424,1.59442,1.56253,1.56896,4302217.6289
27.07.2008 20:00:00.000 GMT-0400,1.56909,1.57683,1.55142,1.55658,4307956.6641
03.08.2008 20:00:00.000 GMT-0400,1.55662,1.56306,1.49026,1.49321,4292818.8086
10.08.2008 20:00:00.000 GMT-0400,1.49333,1.50835,1.46554,1.46990,4298038.1074
17.08.2008 20:00:00.000 GMT-0400,1.46976,1.49078,1.46272,1.47805,4286516.9844
24.08.2008 20:00:00.000 GMT-0400,1.47810,1.48103,1.45655,1.46967,4320330.8789
31.08.2008 20:00:00.000 GMT-0400,1.46962,1.47029,1.41957,1.43524,4338807.4531
07.09.2008 20:00:00.000 GMT-0400,1.43510,1.44280,1.38778,1.43163,4316583.293
14.09.2008 20:00:00.000 GMT-0400,1.43164,1.45404,1.40699,1.44887,4329531.7031
21.09.2008 20:00:00.000 GMT-0400,1.44877,1.48640,1.44513,1.45357,4333491.6094
28.09.2008 20:00:00.000 GMT-0400,1.45356,1.45675,1.36100,1.36490,5385965.6094
05.10.2008 20:00:00.000 GMT-0400,1.36490,1.37812,1.32592,1.35955,3102293.711
12.10.2008 20:00:00.000 GMT-0400,1.35969,1.37639,1.33467,1.34418,1067408.4375999998
19.10.2008 20:00:00.000 GMT-0400,1.34435,1.35299,1.24941,1.26188,3618884.1719
26.10.2008 20:00:00.000 GMT-0400,1.26219,1.32850,1.23290,1.27711,4040568.2754
02.11.2008 19:00:00.000 GMT-0500,1.27725,1.31145,1.25250,1.28230,4117141.7109
09.11.2008 19:00:00.000 GMT-0500,1.28230,1.29270,1.23880,1.25215,3322490.9141
16.11.2008 19:00:00.000 GMT-0500,1.25215,1.28140,1.24230,1.26400,3074400.6758
23.11.2008 19:00:00.000 GMT-0500,1.26400,1.30810,1.25670,1.26676,3829365.6914
30.11.2008 19:00:00.000 GMT-0500,1.26670,1.28475,1.25490,1.27290,3903649.8516
07.12.2008 19:00:00.000 GMT-0500,1.27290,1.34535,1.27265,1.34420,4082375.4454
14.12.2008 19:00:00.000 GMT-0500,1.34420,1.46925,1.34300,1.39755,2997504.0254
21.12.2008 19:00:00.000 GMT-0500,1.39755,1.41245,1.39025,1.41030,1949792.6563999997
28.12.2008 19:00:00.000 GMT-0500,1.41040,1.43625,1.38385,1.39575,2403764.6797999996
04.01.2009 19:00:00.000 GMT-0500,1.39575,1.39610,1.33130,1.34155,3220675.4531
11.01.2009 19:00:00.000 GMT-0500,1.34160,1.34455,1.30247,1.33570,3534229.0156
18.01.2009 19:00:00.000 GMT-0500,1.33575,1.33805,1.27675,1.28945,3059658.6445
